img_id,class_id,class_name,flip_type,eq,x0_sim,x1_sim,x2_sim,x3_sim,x4_sim
53164,0,airplane,,0,0.847303032875061,0.7171077728271484,0.34568750858306885,0.11315430700778961,0.0
53164,0,airplane,,1,1.0,1.0,1.0,1.0,1.0
50995,0,airplane,,0,0.664345383644104,0.5418360233306885,0.5958448648452759,0.12814781069755554,0.0
50995,0,airplane,,1,1.0,1.0,1.0,1.0000001192092896,1.0
50373,0,airplane,,0,0.8212583065032959,0.6942864656448364,0.22927455604076385,0.01720140501856804,0.0
50373,0,airplane,,1,1.0,1.0,1.0,1.0,1.0
666,0,airplane,,0,0.7594653964042664,0.7258028388023376,0.509171724319458,0.2242305427789688,0.0
666,0,airplane,,1,1.0,1.0,0.9999999403953552,0.9999998807907104,1.0000001192092896
51861,0,airplane,,0,0.8144755959510803,0.7365505695343018,0.2378096729516983,0.21648746728897095,0.0
51861,0,airplane,,1,1.0,1.0,1.0,1.0,1.0
53535,0,airplane,,0,0.8655461072921753,0.826568603515625,0.24398666620254517,0.3239675760269165,0.0
53535,0,airplane,,1,1.0000001192092896,1.0,0.9999998807907104,0.9999998807907104,1.0000001192092896
50421,0,airplane,,0,0.7259191274642944,0.6969459056854248,0.2418382465839386,0.21579355001449585,0.0
50421,0,airplane,,1,1.0,0.9999999403953552,0.9999998807907104,1.0,1.0
974,0,airplane,,0,0.7715635299682617,0.6404734253883362,0.459347665309906,0.28933560848236084,0.0
974,0,airplane,,1,1.0,0.9999999403953552,1.0000001192092896,1.0,1.0
51920,0,airplane,,0,0.8282546997070312,0.815821647644043,0.42730289697647095,0.10099071264266968,0.0
51920,0,airplane,,1,1.0,1.0,0.9999999403953552,1.0,1.0
51638,0,airplane,,0,0.8479920625686646,0.8035402297973633,0.014033637940883636,0.7340765595436096,0.0
51638,0,airplane,,1,1.0,1.0,1.0,1.0000001192092896,1.0
3589,0,airplane,,0,0.8753690719604492,0.7919254302978516,0.531096875667572,0.262126088142395,0.0
3589,0,airplane,,1,1.0,1.0,1.0,1.0,0.9999998807907104
52359,0,airplane,,0,0.7912732362747192,0.7463191747665405,0.4502502977848053,0.009451387450098991,0.0
52359,0,airplane,,1,1.0,1.0,1.0,0.9999999403953552,0.9999998807907104
51619,0,airplane,,0,0.7883593440055847,0.7901097536087036,0.0972464382648468,0.1709236204624176,0.0
51619,0,airplane,,1,1.0,0.9999999403953552,0.9999999403953552,1.0,0.9999999403953552
54827,0,airplane,,0,0.8506903052330017,0.8212766647338867,0.4433937668800354,0.09948651492595673,0.0
54827,0,airplane,,1,1.0,1.0,1.0,0.9999998807907104,1.0
100265,0,airplane,,0,0.8284626007080078,0.7806667685508728,0.33397799730300903,0.1294960230588913,0.4514399766921997
100265,0,airplane,,1,1.0000001192092896,1.0,1.0,0.9999999403953552,0.9999999403953552
1163,0,airplane,,0,0.8881142139434814,0.8165262937545776,0.22114434838294983,0.10696735978126526,0.0
1163,0,airplane,,1,1.0,0.9999999403953552,0.9999999403953552,1.0,1.0
341,0,airplane,,0,0.8644728660583496,0.835598349571228,0.2607722878456116,0.0007430961704812944,0.0
341,0,airplane,,1,1.0,1.0,0.9999999403953552,1.0000001192092896,1.0
52781,0,airplane,,0,0.5780911445617676,0.5036155581474304,0.11019676923751831,0.15302352607250214,0.0
52781,0,airplane,,1,1.0000001192092896,1.0,1.0,1.0,1.0000001192092896
4661,0,airplane,,0,0.6092134118080139,0.5117883086204529,0.028989875689148903,0.13210639357566833,0.0
4661,0,airplane,,1,1.0,0.9999999403953552,1.0,1.0,1.0
51820,0,airplane,,0,0.8503985404968262,0.7598326206207275,0.515068531036377,0.0815121978521347,0.0
51820,0,airplane,,1,0.9999998807907104,1.0,1.0000001192092896,0.9999999403953552,1.0
52266,0,airplane,,0,0.8508636355400085,0.6637919545173645,0.0074900006875395775,0.49745407700538635,0.0
52266,0,airplane,,1,1.0,0.9999999403953552,1.0,0.9999999403953552,0.9999998807907104
52599,0,airplane,,0,0.8376255631446838,0.7579950094223022,0.33374184370040894,0.0,0.0
52599,0,airplane,,1,1.0000001192092896,1.0,1.0,1.0,1.0
3837,0,airplane,,0,0.8514931201934814,0.6579696536064148,0.004459449090063572,0.016181524842977524,0.0
3837,0,airplane,,1,1.0,0.9999999403953552,1.0,1.0,0.9999998807907104
53140,0,airplane,,0,0.7932783365249634,0.708598256111145,0.09042645990848541,0.004196901805698872,0.0
53140,0,airplane,,1,1.0,1.0,1.0,1.0,1.0
1988,0,airplane,,0,0.8883198499679565,0.8088256120681763,0.270239919424057,0.05661983788013458,0.0
1988,0,airplane,,1,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552
52126,0,airplane,,0,0.8906265497207642,0.8316140174865723,0.2698891758918762,0.2791071832180023,0.0
52126,0,airplane,,1,1.0000001192092896,1.0000001192092896,1.0,1.0,1.0
50344,0,airplane,,0,0.8025959730148315,0.6717363595962524,0.21627721190452576,0.0,0.0
50344,0,airplane,,1,0.9999998807907104,1.0,1.0,1.0,0.9999999403953552
52018,0,airplane,,0,0.7794562578201294,0.6590163707733154,0.12301038950681686,0.15102437138557434,0.0
52018,0,airplane,,1,1.0,1.0,0.9999999403953552,1.0,0.9999998807907104
50805,0,airplane,,0,0.72090083360672,0.5768816471099854,0.5384483933448792,0.16351062059402466,0.0
50805,0,airplane,,1,1.0,1.0,1.0,0.9999998807907104,1.0
4591,0,airplane,,0,0.7820752263069153,0.6269482374191284,0.3304634988307953,0.2561378479003906,0.0
