img_id,class_id,class_name,flip_type,eq,x0_sim,x1_sim,x2_sim,x3_sim,x4_sim
53164,0,airplane,original,0,1.0,1.0,1.0,0.9999998807907104,1.0
53164,0,airplane,flip_h,0,1.0,1.0,1.0,0.9999998807907104,1.0
53164,0,airplane,flip_v,0,0.7898237705230713,0.5114222764968872,0.013489503413438797,0.15377308428287506,1.0
53164,0,airplane,original,1,1.0,1.0,1.0,1.0000001192092896,1.0
53164,0,airplane,flip_h,1,1.0,1.0,1.0,1.0000001192092896,1.0
53164,0,airplane,flip_v,1,0.3194924592971802,0.47392964363098145,0.5070959329605103,0.004019555635750294,0.1692785918712616
50995,0,airplane,original,0,1.0,0.9999999403953552,0.9999998807907104,0.9999998807907104,1.0
50995,0,airplane,flip_h,0,0.669152021408081,0.6444070339202881,0.09739972651004791,0.49472564458847046,1.0
50995,0,airplane,flip_v,0,0.5746566653251648,0.5485066175460815,0.0016757965786382556,0.1233246922492981,1.0
50995,0,airplane,original,1,1.0,1.0000001192092896,1.0,1.0,1.0
50995,0,airplane,flip_h,1,0.7870370745658875,0.7454512119293213,0.7154938578605652,0.4939195513725281,0.6517201662063599
50995,0,airplane,flip_v,1,0.7494432926177979,0.693708598613739,0.6480284333229065,0.45334893465042114,0.7579089999198914
50373,0,airplane,original,0,0.9999998807907104,0.9999998807907104,1.0,1.0,1.0
50373,0,airplane,flip_h,0,0.8327795267105103,0.6527698040008545,0.5049439668655396,0.7760363221168518,1.0
50373,0,airplane,flip_v,0,0.8601151704788208,0.7391014099121094,0.0,0.0273344274610281,1.0
50373,0,airplane,original,1,0.9999998807907104,1.0,1.0,1.0,1.0000001192092896
50373,0,airplane,flip_h,1,0.932515025138855,0.8161029815673828,0.5882725715637207,0.5865098237991333,0.594704270362854
50373,0,airplane,flip_v,1,0.9176586866378784,0.796681821346283,0.6421949863433838,0.4216132164001465,0.7509521245956421
666,0,airplane,original,0,1.0,1.0,1.0,1.0000001192092896,1.0
666,0,airplane,flip_h,0,0.6904147863388062,0.6615680456161499,0.15042328834533691,0.8283842206001282,1.0
666,0,airplane,flip_v,0,0.7144302129745483,0.6813691258430481,0.3896547555923462,0.260679692029953,1.0
666,0,airplane,original,1,1.0,1.0,0.9999999403953552,0.9999999403953552,1.0
666,0,airplane,flip_h,1,0.6407521367073059,0.6415722370147705,0.7740162014961243,0.608447253704071,0.6031641960144043
666,0,airplane,flip_v,1,0.7483487725257874,0.6476523876190186,0.7460653781890869,0.5543085336685181,0.6813416481018066
51861,0,airplane,original,0,1.0,1.0,1.0,1.0,1.0
51861,0,airplane,flip_h,0,1.0,1.0,1.0,1.0,1.0
51861,0,airplane,flip_v,0,0.7674393653869629,0.6561680436134338,0.05197324603796005,0.4344315528869629,0.0
51861,0,airplane,original,1,1.0,1.0000001192092896,0.9999999403953552,1.0000001192092896,1.0
51861,0,airplane,flip_h,1,1.0,1.0000001192092896,0.9999999403953552,1.0000001192092896,1.0
51861,0,airplane,flip_v,1,0.5232911705970764,0.4499884843826294,0.3887890875339508,0.09396461397409439,0.13915133476257324
53535,0,airplane,original,0,0.9999999403953552,1.0,1.0,1.0000001192092896,1.0
53535,0,airplane,flip_h,0,0.9999999403953552,1.0,1.0,1.0000001192092896,1.0
